"name";"Mannit";"Sorbit";"Xylit";"Summe Zuckeralkohole";"Glucose (Traubenzucker)";"Fructose (Fruchtzucker)";"Galactose (Schleimzucker)";"Monosaccharide (1 M)";"Saccharose (Rübenzucker)";"Maltose (Malzzucker)";"Lactose (Milchzucker)";"Disaccharide (2 M)";"Oligosaccharide, resorbierbar (3-9 M)";"Oligosaccharide, nicht resorbierbar";"Glykogen (tierische Stärke)";"Stärke";"Polysaccharide (> 9 M)"
"Hühnerei Vollei frisch";0;0;0;0;700;0;0;700;0;0;0;0;0;0;0;0;0
"Gnocchi gekocht";454;155;0;315;0;0;78;0;470;10;68;30896;376;0;30896;0;0
"Kopfsalat mit Essigmarinade (Zubereitung Haushalt)";354;415;0;343;0;0;0;0;758;0;0;16;354;0;16;0;0
"Salami Kroatische Art";12;106;0;127;0;0;0;0;236;0;0;12;12;0;12;0;0
"Suppenhuhn Fleisch (mittelfett) frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Lyoner Wurst";36;87;0;109;0;0;0;0;196;0;0;41;36;0;41;0;0
"Marzipan Rohmasse";37335;0;0;0;0;0;0;0;0;14;0;0;37335;0;0;0;0
"Weintraube weiß frisch";437;7628;0;7332;0;0;0;0;14960;0;0;0;437;203;0;203;0
"Kleber (Gluten)";28;7;0;7;0;0;0;0;14;0;28;6930;28;0;6930;0;0
"Rhabarber frisch";335;386;0;408;0;0;0;0;794;0;0;231;335;0;231;0;0
"Papaya";2135;2448;0;2517;0;0;0;0;4965;0;0;0;2135;0;0;0;0
"Tomatensoße mit Tomatenmark (Zubereitung Gastronomie)";1099;3477;0;3159;48;52;0;16;6636;1;189;1760;1047;0;1712;16;0
"Geflügel Döner";496;111;12;147;0;61;6;0;270;13;113;21013;429;0;21013;0;0
"Walnüsse geröstet";6268;0;0;0;0;0;0;0;0;0;0;3376;6268;0;3376;0;0
"Gouda mind. 45% Fett i. Tr.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Haferflockenbrei (Zubereitung Haushalt)";9741;0;0;61;0;3608;6;0;61;2;59;5780;6127;0;5780;0;0
"Kefir entrahmt";4158;0;0;0;0;4158;0;0;0;0;0;0;0;0;0;0;0
"Lachsschinkenpastete";434;0;0;0;0;0;0;0;0;0;0;108;434;0;108;0;0
"Mais-Fladenbrot";820;45;0;45;0;0;0;0;90;0;182;44441;820;0;44441;0;0
"Roggen Vollkorn";896;60;0;60;0;0;0;0;120;0;597;58087;896;0;58087;0;0
"Schwein Schinken gekocht geräuchert";1072;0;0;0;0;0;0;0;0;0;0;0;1072;0;0;0;0
"Blattspinat tiefgefroren";219;110;0;136;0;0;0;0;246;0;0;83;219;0;83;0;0
"Weißkohl (Weißkraut) gegart";242;1358;0;1359;0;0;0;0;2717;0;0;60;242;0;60;0;0
"Maiskeimöl";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Brathähnchen Brustfilet roh";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schweineschmalz, -fett";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
